habitabilidad_key,rango_habitaciones_total,rango_habitaciones_dormir,nbi_vivienda_inadecuada_ind,nbi_hacinamiento_ind,nbi_sin_servicio_higienico_ind,nbi_ninios_no_asisten_ind,nbi_alta_dependencia_ind,categoria_carencias,brecha_multidimensional_ind
192,2 habitaciones,1 dormitorio,1,0,0,0,0,Una carencia,0
193,6 a más habitaciones,3 dormitorios,0,0,0,0,1,Sin carencias,0
194,3 habitaciones,1 dormitorio,0,0,1,0,1,Cinco a más carencias,1
195,6 a más habitaciones,2 dormitorios,0,0,0,1,0,Cinco a más carencias,1
196,4 a 5 habitaciones,2 dormitorios,0,0,0,0,1,Tres a cuatro carencias,1
197,6 a más habitaciones,3 dormitorios,0,0,0,0,0,Cinco a más carencias,1
198,6 a más habitaciones,3 dormitorios,0,0,0,0,1,Cinco a más carencias,1
199,3 habitaciones,3 dormitorios,0,0,1,0,0,Tres a cuatro carencias,1
200,4 a 5 habitaciones,3 dormitorios,0,0,1,0,0,Dos carencias,1
201,1 habitación,1 dormitorio,1,0,0,0,0,Una carencia,0
202,2 habitaciones,2 dormitorios,1,0,1,0,0,Cinco a más carencias,1
203,No especificado,No especificado,0,0,0,1,0,Una carencia,0
204,2 habitaciones,1 dormitorio,1,1,0,0,0,Tres a cuatro carencias,1
205,2 habitaciones,1 dormitorio,0,1,1,0,0,Dos carencias,1
206,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,0,Cinco a más carencias,1
207,2 habitaciones,1 dormitorio,0,0,1,0,1,Cinco a más carencias,1
208,4 a 5 habitaciones,2 dormitorios,0,0,0,1,0,Cinco a más carencias,1
209,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,1,Cinco a más carencias,1
210,3 habitaciones,2 dormitorios,1,0,0,0,1,Tres a cuatro carencias,1
211,3 habitaciones,2 dormitorios,0,0,0,0,1,Una carencia,0
212,6 a más habitaciones,4 a más dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
213,4 a 5 habitaciones,4 a más dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
214,3 habitaciones,3 dormitorios,0,0,1,0,0,Cinco a más carencias,1
215,2 habitaciones,2 dormitorios,0,1,0,0,0,Tres a cuatro carencias,1
216,4 a 5 habitaciones,3 dormitorios,0,0,0,0,1,Tres a cuatro carencias,1
217,4 a 5 habitaciones,4 a más dormitorios,0,1,0,0,0,Una carencia,0
218,4 a 5 habitaciones,4 a más dormitorios,1,0,0,0,0,Cinco a más carencias,1
219,4 a 5 habitaciones,3 dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
220,6 a más habitaciones,4 a más dormitorios,1,0,0,0,0,Dos carencias,1
221,4 a 5 habitaciones,2 dormitorios,1,0,0,0,0,Cinco a más carencias,1
222,3 habitaciones,3 dormitorios,0,0,0,0,1,Sin carencias,0
223,6 a más habitaciones,4 a más dormitorios,0,0,0,0,1,Una carencia,0
224,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,1,Sin carencias,0
225,4 a 5 habitaciones,2 dormitorios,0,0,0,0,1,Una carencia,0
226,3 habitaciones,1 dormitorio,0,0,0,0,1,Dos carencias,1
227,6 a más habitaciones,1 dormitorio,0,0,0,0,0,Dos carencias,1
228,2 habitaciones,1 dormitorio,1,0,1,0,1,Tres a cuatro carencias,1
229,1 habitación,1 dormitorio,0,1,1,1,0,Cinco a más carencias,1
230,4 a 5 habitaciones,2 dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
231,6 a más habitaciones,3 dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
232,4 a 5 habitaciones,4 a más dormitorios,0,0,0,1,0,Sin carencias,0
233,3 habitaciones,3 dormitorios,0,1,0,0,0,Dos carencias,1
234,1 habitación,1 dormitorio,0,1,1,0,1,Cinco a más carencias,1
235,6 a más habitaciones,3 dormitorios,0,0,0,1,0,Una carencia,0
236,3 habitaciones,2 dormitorios,0,1,0,0,0,Una carencia,0
237,2 habitaciones,1 dormitorio,0,0,0,0,1,Dos carencias,1
238,6 a más habitaciones,4 a más dormitorios,1,0,0,0,0,Una carencia,0
239,No especificado,No especificado,1,0,1,0,0,Dos carencias,1
240,4 a 5 habitaciones,4 a más dormitorios,0,0,1,0,0,Dos carencias,1
241,4 a 5 habitaciones,4 a más dormitorios,0,0,1,0,0,Una carencia,0
242,2 habitaciones,1 dormitorio,0,0,1,1,0,Tres a cuatro carencias,1
243,3 habitaciones,1 dormitorio,0,0,0,0,1,Cinco a más carencias,1
244,2 habitaciones,1 dormitorio,0,1,1,0,1,Cinco a más carencias,1
245,1 habitación,1 dormitorio,0,1,0,0,1,Dos carencias,1
246,4 a 5 habitaciones,3 dormitorios,0,0,0,1,0,Dos carencias,1
247,No especificado,No especificado,0,1,0,0,0,Tres a cuatro carencias,1
248,2 habitaciones,2 dormitorios,0,0,1,0,0,Dos carencias,1
249,4 a 5 habitaciones,3 dormitorios,0,0,0,1,0,Una carencia,0
250,4 a 5 habitaciones,2 dormitorios,0,0,1,0,0,Una carencia,0
251,3 habitaciones,2 dormitorios,0,0,0,1,0,Una carencia,0
252,3 habitaciones,1 dormitorio,1,0,0,0,0,Una carencia,0
253,No especificado,No especificado,0,0,1,0,0,Una carencia,0
254,2 habitaciones,1 dormitorio,0,1,1,0,0,Tres a cuatro carencias,1
255,2 habitaciones,1 dormitorio,1,0,0,1,0,Tres a cuatro carencias,1
256,No especificado,No especificado,1,0,0,0,0,Sin carencias,0
257,3 habitaciones,1 dormitorio,0,0,1,0,0,Una carencia,0
258,3 habitaciones,2 dormitorios,0,0,0,0,1,Dos carencias,1
259,4 a 5 habitaciones,3 dormitorios,0,0,1,0,0,Una carencia,0
260,2 habitaciones,1 dormitorio,0,0,1,0,0,Una carencia,0
261,3 habitaciones,2 dormitorios,0,0,1,0,0,Una carencia,0
262,2 habitaciones,1 dormitorio,0,0,0,1,0,Una carencia,0
263,2 habitaciones,1 dormitorio,0,1,0,0,1,Tres a cuatro carencias,1
264,1 habitación,1 dormitorio,0,1,0,0,1,Cinco a más carencias,1
265,6 a más habitaciones,2 dormitorios,1,0,0,0,0,Tres a cuatro carencias,1
266,6 a más habitaciones,1 dormitorio,0,0,1,0,0,Dos carencias,1
267,2 habitaciones,1 dormitorio,1,0,1,1,0,Tres a cuatro carencias,1
268,2 habitaciones,1 dormitorio,1,1,1,0,0,Tres a cuatro carencias,1
269,No especificado,No especificado,1,1,0,0,0,Dos carencias,1
270,2 habitaciones,1 dormitorio,0,0,0,1,0,Tres a cuatro carencias,1
271,3 habitaciones,2 dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
272,2 habitaciones,1 dormitorio,0,0,0,0,1,Una carencia,0
273,3 habitaciones,3 dormitorios,1,0,0,0,1,Dos carencias,1
274,2 habitaciones,2 dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
275,3 habitaciones,3 dormitorios,0,1,0,0,0,Tres a cuatro carencias,1
276,1 habitación,1 dormitorio,1,1,0,1,0,Cinco a más carencias,1
277,4 a 5 habitaciones,3 dormitorios,1,0,0,1,0,Tres a cuatro carencias,1
278,2 habitaciones,1 dormitorio,1,0,0,1,0,Cinco a más carencias,1
279,3 habitaciones,2 dormitorios,0,0,1,1,1,Cinco a más carencias,1
280,1 habitación,1 dormitorio,0,1,1,0,1,Tres a cuatro carencias,1
281,3 habitaciones,2 dormitorios,0,0,0,1,0,Dos carencias,1
282,6 a más habitaciones,1 dormitorio,0,0,0,0,0,Cinco a más carencias,1
283,2 habitaciones,1 dormitorio,0,0,0,1,0,Sin carencias,0
284,3 habitaciones,3 dormitorios,0,0,0,1,0,Una carencia,0
285,3 habitaciones,3 dormitorios,1,0,1,0,0,Tres a cuatro carencias,1
286,2 habitaciones,1 dormitorio,0,1,0,0,0,Una carencia,0
287,2 habitaciones,2 dormitorios,1,1,0,0,0,Tres a cuatro carencias,1
288,6 a más habitaciones,4 a más dormitorios,0,0,1,0,1,Tres a cuatro carencias,1
289,3 habitaciones,2 dormitorios,0,0,1,0,1,Cinco a más carencias,1
290,6 a más habitaciones,3 dormitorios,1,0,0,0,0,Una carencia,0
291,4 a 5 habitaciones,4 a más dormitorios,1,0,0,0,0,Una carencia,0
292,1 habitación,1 dormitorio,0,0,1,1,0,Cinco a más carencias,1
293,3 habitaciones,2 dormitorios,0,0,0,0,1,Sin carencias,0
294,3 habitaciones,3 dormitorios,0,0,0,0,1,Dos carencias,1
295,3 habitaciones,2 dormitorios,1,0,1,0,0,Cinco a más carencias,1
296,4 a 5 habitaciones,3 dormitorios,0,0,1,1,0,Tres a cuatro carencias,1
297,3 habitaciones,2 dormitorios,0,0,0,0,1,Cinco a más carencias,1
298,3 habitaciones,2 dormitorios,0,1,1,0,1,Cinco a más carencias,1
299,1 habitación,1 dormitorio,0,1,1,1,1,Cinco a más carencias,1
300,2 habitaciones,2 dormitorios,1,0,0,0,1,Tres a cuatro carencias,1
301,6 a más habitaciones,2 dormitorios,0,0,0,0,0,Cinco a más carencias,1
302,4 a 5 habitaciones,3 dormitorios,0,0,0,0,1,Sin carencias,0
303,1 habitación,1 dormitorio,1,1,1,0,1,Cinco a más carencias,1
304,6 a más habitaciones,2 dormitorios,1,0,0,0,0,Cinco a más carencias,1
305,4 a 5 habitaciones,1 dormitorio,1,0,0,0,0,Cinco a más carencias,1
306,4 a 5 habitaciones,1 dormitorio,0,0,1,0,0,Dos carencias,1
307,2 habitaciones,1 dormitorio,0,1,0,0,1,Una carencia,0
308,6 a más habitaciones,1 dormitorio,1,0,0,0,0,Tres a cuatro carencias,1
309,6 a más habitaciones,4 a más dormitorios,0,0,0,1,0,Dos carencias,1
310,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,1,Una carencia,0
311,3 habitaciones,2 dormitorios,1,0,0,0,1,Dos carencias,1
312,2 habitaciones,1 dormitorio,1,1,0,0,1,Tres a cuatro carencias,1
313,4 a 5 habitaciones,1 dormitorio,1,0,1,0,0,Tres a cuatro carencias,1
314,3 habitaciones,2 dormitorios,0,0,1,1,0,Tres a cuatro carencias,1
315,3 habitaciones,3 dormitorios,0,0,1,0,0,Dos carencias,1
316,4 a 5 habitaciones,2 dormitorios,1,0,0,0,0,Una carencia,0
317,4 a 5 habitaciones,3 dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
318,4 a 5 habitaciones,4 a más dormitorios,0,0,0,0,1,Tres a cuatro carencias,1
319,4 a 5 habitaciones,1 dormitorio,1,0,0,0,0,Una carencia,0
320,1 habitación,1 dormitorio,1,1,0,1,0,Tres a cuatro carencias,1
321,4 a 5 habitaciones,4 a más dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
322,6 a más habitaciones,1 dormitorio,0,0,1,0,1,Tres a cuatro carencias,1
323,No especificado,No especificado,0,0,1,0,0,Tres a cuatro carencias,1
324,2 habitaciones,1 dormitorio,0,0,0,0,1,Sin carencias,0
325,2 habitaciones,2 dormitorios,1,1,1,0,0,Cinco a más carencias,1
326,6 a más habitaciones,2 dormitorios,0,0,0,1,0,Dos carencias,1
327,3 habitaciones,3 dormitorios,1,0,0,0,1,Tres a cuatro carencias,1
328,6 a más habitaciones,4 a más dormitorios,0,0,0,1,0,Una carencia,0
329,6 a más habitaciones,3 dormitorios,0,0,0,0,1,Dos carencias,1
330,4 a 5 habitaciones,2 dormitorios,0,0,0,1,0,Tres a cuatro carencias,1
331,No especificado,No especificado,1,0,1,0,0,Tres a cuatro carencias,1
332,6 a más habitaciones,4 a más dormitorios,0,0,0,0,1,Dos carencias,1
333,6 a más habitaciones,3 dormitorios,1,0,0,0,0,Dos carencias,1
334,1 habitación,1 dormitorio,0,1,1,1,0,Tres a cuatro carencias,1
335,2 habitaciones,1 dormitorio,0,1,1,1,1,Cinco a más carencias,1
336,1 habitación,1 dormitorio,0,0,0,1,0,Dos carencias,1
337,6 a más habitaciones,4 a más dormitorios,0,0,1,0,0,Cinco a más carencias,1
338,4 a 5 habitaciones,3 dormitorios,1,0,1,0,0,Dos carencias,1
339,4 a 5 habitaciones,4 a más dormitorios,0,0,1,0,1,Tres a cuatro carencias,1
340,2 habitaciones,1 dormitorio,0,0,0,1,0,Dos carencias,1
341,2 habitaciones,1 dormitorio,1,0,0,1,0,Dos carencias,1
342,3 habitaciones,2 dormitorios,1,0,0,0,1,Una carencia,0
343,No especificado,No especificado,1,0,0,0,0,Una carencia,0
344,4 a 5 habitaciones,3 dormitorios,0,1,0,0,0,Una carencia,0
345,2 habitaciones,1 dormitorio,0,0,1,0,1,Tres a cuatro carencias,1
346,4 a 5 habitaciones,1 dormitorio,0,0,0,1,0,Dos carencias,1
347,2 habitaciones,1 dormitorio,1,1,1,1,0,Cinco a más carencias,1
348,1 habitación,1 dormitorio,0,1,0,1,0,Tres a cuatro carencias,1
349,4 a 5 habitaciones,3 dormitorios,1,0,1,1,0,Tres a cuatro carencias,1
350,3 habitaciones,2 dormitorios,0,1,1,0,0,Cinco a más carencias,1
351,2 habitaciones,2 dormitorios,0,1,1,0,0,Dos carencias,1
352,2 habitaciones,1 dormitorio,1,0,1,0,0,Dos carencias,1
353,3 habitaciones,1 dormitorio,1,0,0,0,1,Tres a cuatro carencias,1
354,4 a 5 habitaciones,4 a más dormitorios,0,0,0,1,0,Dos carencias,1
355,2 habitaciones,2 dormitorios,0,0,0,0,1,Dos carencias,1
356,6 a más habitaciones,3 dormitorios,0,0,1,0,0,Una carencia,0
357,4 a 5 habitaciones,3 dormitorios,0,0,1,0,1,Cinco a más carencias,1
358,2 habitaciones,2 dormitorios,1,1,0,1,0,Tres a cuatro carencias,1
359,3 habitaciones,2 dormitorios,0,0,1,0,1,Tres a cuatro carencias,1
360,4 a 5 habitaciones,1 dormitorio,1,0,1,0,0,Dos carencias,1
361,2 habitaciones,2 dormitorios,0,0,0,1,0,Una carencia,0
362,6 a más habitaciones,4 a más dormitorios,0,0,0,1,0,Sin carencias,0
363,3 habitaciones,2 dormitorios,0,0,1,1,0,Cinco a más carencias,1
364,2 habitaciones,2 dormitorios,1,1,0,0,1,Cinco a más carencias,1
365,4 a 5 habitaciones,2 dormitorios,0,0,1,0,1,Tres a cuatro carencias,1
366,4 a 5 habitaciones,4 a más dormitorios,1,0,1,0,0,Dos carencias,1
367,2 habitaciones,2 dormitorios,0,0,0,1,0,Dos carencias,1
368,3 habitaciones,1 dormitorio,0,1,1,0,1,Cinco a más carencias,1
369,4 a 5 habitaciones,2 dormitorios,1,0,0,0,1,Tres a cuatro carencias,1
370,1 habitación,1 dormitorio,0,1,0,0,1,Una carencia,0
371,2 habitaciones,2 dormitorios,0,1,0,0,1,Dos carencias,1
372,2 habitaciones,2 dormitorios,1,0,0,1,0,Tres a cuatro carencias,1
373,3 habitaciones,2 dormitorios,0,1,0,0,0,Cinco a más carencias,1
374,4 a 5 habitaciones,3 dormitorios,0,0,0,0,1,Cinco a más carencias,1
375,1 habitación,1 dormitorio,0,0,1,0,0,Una carencia,0
376,4 a 5 habitaciones,4 a más dormitorios,1,0,0,0,1,Tres a cuatro carencias,1
377,4 a 5 habitaciones,2 dormitorios,0,0,0,1,0,Dos carencias,1
378,2 habitaciones,2 dormitorios,0,0,1,1,0,Tres a cuatro carencias,1
379,6 a más habitaciones,2 dormitorios,0,0,1,0,0,Dos carencias,1
380,3 habitaciones,2 dormitorios,0,0,0,1,0,Cinco a más carencias,1
381,1 habitación,1 dormitorio,0,0,0,1,0,Sin carencias,0
382,1 habitación,1 dormitorio,0,1,0,1,1,Cinco a más carencias,1
383,4 a 5 habitaciones,4 a más dormitorios,1,0,0,0,1,Cinco a más carencias,1
384,4 a 5 habitaciones,2 dormitorios,1,0,0,1,0,Tres a cuatro carencias,1
